FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG00BFMZ9D8,CITY SERVICE SE,CTS,PW,Common Stock,Equity,BBG00BFMZ9C9,BBG001SQL7Z2,CTS,Common Stock,https://www.bloomberg.com/quote/CTS:PZ,True
BBG00BWMQ084,AUXILIA SA,AUX,PW,Common Stock,Equity,BBG00BWMQ066,BBG00BWMQ075,AUX,Common Stock,https://www.bloomberg.com/quote/AUX:PZ,True
BBG00C6H03C9,INDOS SA,INS,PW,Common Stock,Equity,BBG004LNKZL4,BBG004LNKZM3,INS,Common Stock,https://www.bloomberg.com/quote/INS:PZ,True
BBG00CVQSKH8,AUTO PARTNER SA,APR,PW,Common Stock,Equity,BBG001BLCVX0,BBG001TQBS86,APR,Common Stock,https://www.bloomberg.com/quote/APR:PZ,True
BBG00CW39GJ6,4MOBILITY SA,4MB,PW,Common Stock,Equity,BBG00CW39GG9,BBG00CW39GH8,4MB,Common Stock,https://www.bloomberg.com/quote/4MB:PZ,True
BBG00DB105X8,TOWER INVESTMENTS SA,TOW,PW,Common Stock,Equity,BBG00DB105T3,BBG00DB105V0,TOW,Common Stock,https://www.bloomberg.com/quote/TOW:PZ,True
BBG00DSJ1T59,CELON PHARMA SA,CLN,PW,Common Stock,Equity,BBG00DSJ1T40,BBG00DSJ1T68,CLN,Common Stock,https://www.bloomberg.com/quote/CLN:PZ,True
BBG00DSX43F1,PLAYWAY SA,PLW,PW,Common Stock,Equity,BBG00DSX43C4,BBG00DSX43D3,PLW,Common Stock,https://www.bloomberg.com/quote/PLW:PZ,True
BBG00DZTV7B7,ARTIFEX MUNDI SA,ART,PW,Common Stock,Equity,BBG007NP23R5,BBG007NP23S4,ART,Common Stock,https://www.bloomberg.com/quote/ART:PZ,True
BBG00F6NPG60,PREFA GROUP SA,PFG,PW,Common Stock,Equity,BBG00F48DN27,BBG00F48DN36,PFG,Common Stock,https://www.bloomberg.com/quote/PFG:PZ,True
